2021-04-26 13:28:08,558 | DEBUG | arenas.step_forward:108 | Champion ClaretWolfController entered tile Coords(x=45, y=74).
2021-04-26 13:28:08,594 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:08,595 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=40).
2021-04-26 13:28:08,652 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:08,652 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.LEFT.
2021-04-26 13:28:08,690 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.ATTACK.
2021-04-26 13:28:08,691 | DEBUG | characters.attack:81 | Champion BBBotControllerBartek attacked with its knife.
2021-04-26 13:28:08,734 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_RIGHT.
2021-04-26 13:28:08,734 | DEBUG | characters.turn_right:73 | Champion Krowa1233ControllerKrowka is now facing Facing.LEFT.
2021-04-26 13:28:08,909 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:08,909 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=50).
2021-04-26 13:28:09,484 | DEBUG | games._environment_action:75 | Starting episode 17.
2021-04-26 13:28:09,561 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.ATTACK.
2021-04-26 13:28:09,562 | DEBUG | characters.attack:81 | Champion ClaretWolfController attacked with its knife.
2021-04-26 13:28:09,606 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:09,607 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=39).
2021-04-26 13:28:09,658 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.STEP_FORWARD.
2021-04-26 13:28:09,659 | DEBUG | arenas.step_forward:108 | Champion BotElkaZ nami na pewno zdasz entered tile Coords(x=64, y=10).
2021-04-26 13:28:09,704 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:09,704 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.RIGHT.
2021-04-26 13:28:09,757 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
